issue_type,priority,image_id,image_path,label_path,label_line_index,label_line,gt_class_id,gt_class_name,pred_class_id,pred_class_name,pred_score,iou,gt_bbox_xyxy,pred_bbox_xyxy,suggested_action
class_confusion,0.824291,317,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00317.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00317.txt,69,355 0.698041 0.876488 0.047371 0.061839,355,unknown_product,150,Sætre GullBar,0.798493,0.862988,"[2719.0, 2557.0, 2910.0, 2744.0]","[2719.6, 2576.9, 2909.4, 2739.3]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.820296,317,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00317.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00317.txt,66,355 0.656250 0.813823 0.042659 0.065476,355,unknown_product,150,Sætre GullBar,0.809122,0.837057,"[2560.0, 2362.0, 2732.0, 2560.0]","[2557.4, 2384.1, 2734.2, 2553.8]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.816224,36,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00036.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00036.txt,92,100 0.249132 0.673115 0.050347 0.096892,100,EVERGOOD CLASSIC FILTERMALT 250G,304,EVERGOOD CLASSIC KOKMALT 250G,0.824108,0.804398,"[903.0, 1889.0, 1106.0, 2182.0]","[904.4, 1912.7, 1084.2, 2178.8]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.811929,272,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00272.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00272.txt,50,21 0.799000 0.629167 0.041500 0.097000,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,39,KNEKKEBRØD RUNDA KANEL 330G WASA,0.773094,0.870181,"[3113.0, 1742.0, 3279.0, 2033.0]","[3108.0, 1767.3, 3282.5, 2033.7]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.810518,36,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00036.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00036.txt,90,100 0.153646 0.676587 0.053819 0.087963,100,EVERGOOD CLASSIC FILTERMALT 250G,304,EVERGOOD CLASSIC KOKMALT 250G,0.792114,0.838123,"[511.0, 1913.0, 728.0, 2179.0]","[509.4, 1918.5, 700.0, 2176.3]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.808592,64,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00064.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00064.txt,108,160 0.108333 0.861719 0.026389 0.053646,160,ALI ORIGINAL KOKMALT 250G,171,ALI ORIGINAL FILTERMALT 250G,0.789679,0.836962,"[137.0, 1603.0, 175.0, 1706.0]","[137.8, 1602.6, 180.6, 1704.2]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.799409,34,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00034.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00034.txt,95,160 0.188120 0.832176 0.040923 0.114749,160,ALI ORIGINAL KOKMALT 250G,171,ALI ORIGINAL FILTERMALT 250G,0.718289,0.921089,"[676.0, 2343.0, 841.0, 2690.0]","[669.3, 2354.8, 841.5, 2687.8]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.788215,34,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00034.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00034.txt,92,100 0.374876 0.687335 0.051339 0.110780,100,EVERGOOD CLASSIC FILTERMALT 250G,304,EVERGOOD CLASSIC KOKMALT 250G,0.675526,0.957249,"[1408.0, 1911.0, 1615.0, 2246.0]","[1405.2, 1910.5, 1617.7, 2251.4]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.783743,119,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00119.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00119.txt,40,240 0.374250 0.436000 0.042000 0.072000,240,SUPERGRANOLA GLUTENFRI 350G BARE BRA,47,GRANOLA EPLE&KANEL 430G BARE BRA,0.720477,0.878641,"[1413.0, 1200.0, 1581.0, 1416.0]","[1407.0, 1194.4, 1588.3, 1422.2]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.781192,36,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00036.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00036.txt,89,100 0.104167 0.673446 0.052083 0.091601,100,EVERGOOD CLASSIC FILTERMALT 250G,304,EVERGOOD CLASSIC KOKMALT 250G,0.716113,0.87881,"[315.0, 1898.0, 525.0, 2175.0]","[319.0, 1908.7, 513.3, 2171.8]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.779835,205,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00205.jpeg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00205.txt,15,61 0.865500 0.394000 0.040000 0.078667,61,MUSLI BLÅBÆR 630G AXA,315,4-KORN 675G AXA,0.720484,0.868862,"[1691.0, 532.0, 1771.0, 650.0]","[1683.2, 529.7, 1770.3, 652.4]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.773388,122,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00122.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00122.txt,4,240 0.306452 0.246867 0.087097 0.187970,240,SUPERGRANOLA GLUTENFRI 350G BARE BRA,47,GRANOLA EPLE&KANEL 430G BARE BRA,0.723001,0.848969,"[163.0, 61.0, 217.0, 136.0]","[161.4, 61.8, 222.6, 133.6]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.771513,34,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00034.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00034.txt,94,100 0.475694 0.686177 0.050595 0.108466,100,EVERGOOD CLASSIC FILTERMALT 250G,304,EVERGOOD CLASSIC KOKMALT 250G,0.671463,0.921587,"[1816.0, 1911.0, 2020.0, 2239.0]","[1815.7, 1895.0, 2026.7, 2239.1]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.76786,186,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00186.jpeg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00186.txt,79,186 0.151804 0.607531 0.045876 0.059023,186,SUPERGRØT SKOGSBÆR 57G BARE BRA,268,SUPERGRØT KANEL&PUFFET QUINOA 54G,0.691786,0.881971,"[250.0, 852.0, 339.0, 939.0]","[243.5, 852.4, 341.4, 941.3]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.764423,183,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00183.jpeg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00183.txt,38,61 0.170759 0.239583 0.060268 0.088294,61,MUSLI BLÅBÆR 630G AXA,315,4-KORN 675G AXA,0.727136,0.820354,"[567.0, 591.0, 810.0, 858.0]","[554.7, 567.5, 801.2, 849.7]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.761633,34,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00034.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00034.txt,93,100 0.424975 0.686508 0.051835 0.109127,100,EVERGOOD CLASSIC FILTERMALT 250G,304,EVERGOOD CLASSIC KOKMALT 250G,0.65546,0.920892,"[1609.0, 1911.0, 1818.0, 2241.0]","[1606.8, 1901.8, 1824.2, 2246.3]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.760024,36,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00036.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00036.txt,68,141 0.068700 0.311839 0.054067 0.105820,141,EVERGOOD CLASSIC PRESSMALT 250G,304,EVERGOOD CLASSIC KOKMALT 250G,0.620155,0.969827,"[168.0, 783.0, 386.0, 1103.0]","[165.7, 781.4, 384.3, 1105.4]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.756602,272,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00272.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00272.txt,51,21 0.839750 0.631167 0.050000 0.093667,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,39,KNEKKEBRØD RUNDA KANEL 330G WASA,0.66341,0.89639,"[3259.0, 1753.0, 3459.0, 2034.0]","[3260.1, 1776.3, 3456.2, 2034.9]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.755099,122,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00122.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00122.txt,0,117 0.709677 0.194236 0.087097 0.177945,117,GRANOLA HASSELNØTT&KOKOS 450G BARE BRA,78,MUSLI HAVRE&MANDEL 400G BARE BRA,0.611303,0.970794,"[413.0, 42.0, 467.0, 113.0]","[412.9, 42.6, 467.2, 111.9]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.753287,116,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00116.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00116.txt,18,240 0.336833 0.313250 0.063000 0.080500,240,SUPERGRANOLA GLUTENFRI 350G BARE BRA,47,GRANOLA EPLE&KANEL 430G BARE BRA,0.672133,0.875019,"[916.0, 1092.0, 1105.0, 1414.0]","[921.1, 1088.3, 1091.2, 1408.3]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.7488,122,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00122.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00122.txt,5,240 0.227419 0.240602 0.087097 0.185464,240,SUPERGRANOLA GLUTENFRI 350G BARE BRA,47,GRANOLA EPLE&KANEL 430G BARE BRA,0.655448,0.888827,"[114.0, 59.0, 168.0, 133.0]","[111.5, 58.8, 171.5, 132.2]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.748596,13,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00013.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00013.txt,77,348 0.672500 0.726167 0.039500 0.076333,348,ALI ORIGINAL HELE BØNNER 250G,171,ALI ORIGINAL FILTERMALT 250G,0.665164,0.873744,"[2611.0, 2064.0, 2769.0, 2293.0]","[2614.9, 2067.0, 2785.2, 2292.9]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.744201,34,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00034.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00034.txt,82,137 0.649802 0.264220 0.033234 0.061508,137,NESCAFE AZERA ESPRESSO 100G,292,NESCAFE AZERA AMERICANO 100G,0.588391,0.977917,"[2553.0, 706.0, 2687.0, 892.0]","[2553.3, 706.4, 2688.2, 893.7]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.737193,60,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00060.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00060.txt,95,189 0.728381 0.628324 0.080562 0.042553,189,YELLOW LABEL TEA 25POS LIPTON,27,YELLOW LABEL TEA 50POS LIPTON,0.599684,0.943457,"[931.0, 913.0, 1040.0, 977.0]","[932.8, 915.4, 1040.2, 977.1]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.733093,119,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00119.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00119.txt,38,117 0.295000 0.428333 0.043000 0.072000,117,GRANOLA HASSELNØTT&KOKOS 450G BARE BRA,78,MUSLI HAVRE&MANDEL 400G BARE BRA,0.641129,0.871039,"[1094.0, 1177.0, 1266.0, 1393.0]","[1084.7, 1179.1, 1263.9, 1407.4]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.729428,317,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00317.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00317.txt,68,355 0.699033 0.821098 0.049355 0.064815,355,unknown_product,150,Sætre GullBar,0.639013,0.86505,"[2719.0, 2385.0, 2918.0, 2581.0]","[2731.2, 2392.1, 2924.8, 2583.6]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.724505,62,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00062.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00062.txt,50,100 0.320370 0.577642 0.055556 0.096748,100,EVERGOOD CLASSIC FILTERMALT 250G,304,EVERGOOD CLASSIC KOKMALT 250G,0.65164,0.833804,"[395.0, 651.0, 470.0, 770.0]","[390.9, 648.4, 474.2, 776.9]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.723991,5,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00005.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00005.txt,71,141 0.337922 0.400298 0.042411 0.116733,141,EVERGOOD CLASSIC PRESSMALT 250G,304,EVERGOOD CLASSIC KOKMALT 250G,0.688937,0.776572,"[1277.0, 1034.0, 1448.0, 1387.0]","[1254.4, 1056.3, 1436.6, 1387.7]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.720735,183,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00183.jpeg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00183.txt,39,61 0.109127 0.229828 0.075893 0.097222,61,MUSLI BLÅBÆR 630G AXA,315,4-KORN 675G AXA,0.62987,0.857034,"[287.0, 548.0, 593.0, 842.0]","[265.3, 532.9, 597.3, 834.9]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.714058,36,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00036.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00036.txt,91,100 0.203125 0.675595 0.053075 0.094577,100,EVERGOOD CLASSIC FILTERMALT 250G,304,EVERGOOD CLASSIC KOKMALT 250G,0.628997,0.841649,"[712.0, 1900.0, 926.0, 2186.0]","[711.0, 1914.9, 905.7, 2182.0]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.711047,26,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00026.jpeg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00026.txt,34,141 0.608846 0.669231 0.081526 0.119231,141,EVERGOOD CLASSIC PRESSMALT 250G,304,EVERGOOD CLASSIC KOKMALT 250G,0.569671,0.92311,"[655.0, 951.0, 749.0, 1137.0]","[654.4, 951.7, 745.7, 1143.7]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.702397,119,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00119.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00119.txt,39,117 0.332250 0.431333 0.043000 0.074000,117,GRANOLA HASSELNØTT&KOKOS 450G BARE BRA,78,MUSLI HAVRE&MANDEL 400G BARE BRA,0.553921,0.925111,"[1243.0, 1183.0, 1415.0, 1405.0]","[1245.2, 1188.3, 1415.5, 1413.7]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.700774,119,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00119.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00119.txt,41,240 0.410375 0.438000 0.044750 0.075333,240,SUPERGRANOLA GLUTENFRI 350G BARE BRA,47,GRANOLA EPLE&KANEL 430G BARE BRA,0.626837,0.81168,"[1552.0, 1201.0, 1731.0, 1427.0]","[1569.4, 1198.7, 1747.7, 1429.0]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.696097,36,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00036.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00036.txt,122,160 0.478423 0.688492 0.035218 0.091931,160,ALI ORIGINAL KOKMALT 250G,171,ALI ORIGINAL FILTERMALT 250G,0.554084,0.909116,"[1858.0, 1943.0, 2000.0, 2221.0]","[1859.0, 1958.6, 2002.8, 2217.8]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.691758,116,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00116.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00116.txt,19,240 0.298833 0.313125 0.055667 0.079750,240,SUPERGRANOLA GLUTENFRI 350G BARE BRA,47,GRANOLA EPLE&KANEL 430G BARE BRA,0.618294,0.801953,"[813.0, 1093.0, 980.0, 1412.0]","[805.2, 1099.0, 961.0, 1400.4]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.690887,252,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00252.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00252.txt,13,345 0.231250 0.376667 0.039500 0.037333,345,KNEKKEBRØD URTER&HAVSALT 220G SIGDAL,92,KNEKKEBRØD GODT FOR DEG 235G SIGDAL,0.69551,0.683952,"[846.0, 1074.0, 1004.0, 1186.0]","[849.2, 1029.4, 1007.5, 1185.1]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.684246,13,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00013.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00013.txt,35,325 0.492125 0.284500 0.025750 0.083000,325,NESCAFE GULL 100G,146,NESCAFE GULL 200G NESTLE,0.653831,0.729869,"[1917.0, 729.0, 2020.0, 978.0]","[1911.1, 727.4, 2050.1, 980.2]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.681339,13,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00013.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00013.txt,49,259 0.428250 0.578333 0.039000 0.067333,259,REGIA KAKAO ORIGINAL 260G,56,SJOKOLADEDRIKK 10PK 320G REGIA,0.557671,0.866842,"[1635.0, 1634.0, 1791.0, 1836.0]","[1624.9, 1621.1, 1789.0, 1834.7]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.677639,122,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00122.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00122.txt,11,97 0.447581 0.790727 0.104839 0.233083,97,CHEERIOS MULTI 375G NESTLE,181,CHEERIOS HAVRE 375G NESTLE,0.594825,0.801861,"[245.0, 269.0, 310.0, 362.0]","[243.4, 279.3, 306.2, 360.2]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.675617,5,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00005.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00005.txt,3,325 0.342386 0.115906 0.035466 0.079696,325,NESCAFE GULL 100G,106,NESCAFE GOLD KOFFEINFRI 100G,0.549269,0.865139,"[1309.0, 230.0, 1452.0, 471.0]","[1299.7, 222.7, 1457.4, 475.3]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
