method	path	tags	operationId	deprecated	summary
get	/asset/{id}	asset	Asset_get	false	Get asset by ID.
put	/asset/{id}	asset	Asset_put	false	Update asset.
get	/asset/{id}/postings	asset	AssetPostings_getPostings	false	Get postings associated with asset
put	/attestation/:addApprover	attestation	AttestationAddApprover_addApprover	false	
get	/attestation/addApproverPermission	attestation	AttestationAddApproverPermission_addApproverPermission	false	
get	/attestation/companyModules	attestation_company_modules	AttestationCompanyModules_get	false	Get attestation company modules
post	/balance/reconciliation/annual/context	balance/reconciliation	BalanceReconciliationAnnualContext_postAnnualContext	false	Create a annualBalance reconciliation context for a customer
get	/balance/reconciliation/attachment/{attachmentId}/pdf	balance/reconciliation	BalanceReconciliationAttachmentPdf_getAttachment	false	
get	/balance/reconciliation/{reconciliationId}/account/{accountId}/vouchers	balance/reconciliation	BalanceReconciliationAccountVouchers_getVouchers	false	
get	/balanceSheet	balanceSheet	BalanceSheet_search	false	Get balance sheet (saldobalanse).
get	/bank	bank	Bank_search	false	Find bank corresponding with sent data.
get	/bank/reconciliation	bank/reconciliation	BankReconciliation_search	false	Find bank reconciliation corresponding with sent data.
post	/bank/reconciliation	bank/reconciliation	BankReconciliation_post	false	Post a bank reconciliation.
get	/bank/reconciliation/>last	bank/reconciliation	BankReconciliationLast_last	false	Get the last created reconciliation by account ID.
get	/bank/reconciliation/>lastClosed	bank/reconciliation	BankReconciliationLastClosed_lastClosed	false	Get last closed reconciliation by account ID.
get	/bank/reconciliation/closedWithUnmatchedTransactions	bank/reconciliation	BankReconciliationClosedWithUnmatchedTransactions_closedWithUnmatchedTransactions	false	Get the last closed reconciliation with unmached transactions by account ID.
get	/bank/reconciliation/match	bank/reconciliation/match	BankReconciliationMatch_search	false	Find bank reconciliation match corresponding with sent data.
post	/bank/reconciliation/match	bank/reconciliation/match	BankReconciliationMatch_post	false	Create a bank reconciliation match.
put	/bank/reconciliation/match/:suggest	bank/reconciliation/match	BankReconciliationMatchSuggest_suggest	false	Suggest matches for a bank reconciliation by ID.
get	/bank/reconciliation/match/count	bank/reconciliation/match	BankReconciliationMatchCount_count	false	Get the total number of matches
get	/bank/reconciliation/match/query	bank/reconciliation/match	BankReconciliationMatchQuery_query	false	[INTERNAL] Wildcard search.
delete	/bank/reconciliation/match/{id}	bank/reconciliation/match	BankReconciliationMatch_delete	false	Delete a bank reconciliation match by ID.
get	/bank/reconciliation/match/{id}	bank/reconciliation/match	BankReconciliationMatch_get	false	Get bank reconciliation match by ID.
put	/bank/reconciliation/match/{id}	bank/reconciliation/match	BankReconciliationMatch_put	false	Update a bank reconciliation match by ID.
get	/bank/reconciliation/matches/counter	bank/reconciliation/match,bank/reconciliation/matches/counter	BankReconciliationMatchesCounter_get	false	[BETA] Get number of matches since last page access.
post	/bank/reconciliation/matches/counter	bank/reconciliation/match,bank/reconciliation/matches/counter	BankReconciliationMatchesCounter_post	false	[BETA] Reset the number of matches after the page has been accessed.
get	/bank/reconciliation/paymentType	bank/reconciliation/paymentType	BankReconciliationPaymentType_search	false	Find payment type corresponding with sent data.
get	/bank/reconciliation/paymentType/{id}	bank/reconciliation/paymentType	BankReconciliationPaymentType_get	false	Get payment type by ID.
get	/bank/reconciliation/settings	bank/reconciliation/settings	BankReconciliationSettings_get	false	Get bank reconciliation settings.
post	/bank/reconciliation/settings	bank/reconciliation/settings	BankReconciliationSettings_post	false	Post bank reconciliation settings.
put	/bank/reconciliation/settings/{id}	bank/reconciliation/settings	BankReconciliationSettings_put	false	Update bank reconciliation settings.
put	/bank/reconciliation/transactions/unmatched:csv	bank/reconciliation	BankReconciliationTransactionsUnmatchedcsv_csvTransactions	false	Get all unmatched transactions in csv format
delete	/bank/reconciliation/{id}	bank/reconciliation	BankReconciliation_delete	false	Delete bank reconciliation by ID.
get	/bank/reconciliation/{id}	bank/reconciliation	BankReconciliation_get	false	Get bank reconciliation.
put	/bank/reconciliation/{id}	bank/reconciliation	BankReconciliation_put	false	Update a bank reconciliation.
put	/bank/reconciliation/{id}/:adjustment	bank/reconciliation	BankReconciliationAdjustment_adjustment	false	Add an adjustment to reconciliation by ID.
get	/bank/statement	bank/statement	BankStatement_search	false	Find bank statement corresponding with sent data.
post	/bank/statement/import	bank/statement	BankStatementImport_importBankStatement	false	Upload bank statement file.
get	/bank/statement/transaction	bank/statement/transaction	BankStatementTransaction_search	false	Find bank transaction corresponding with sent data.
get	/bank/statement/transaction/{id}	bank/statement/transaction	BankStatementTransaction_get	false	Get bank transaction by ID.
get	/bank/statement/transaction/{id}/details	bank/statement/transaction	BankStatementTransactionDetails_getDetails	false	Get additional details about transaction by ID.
delete	/bank/statement/{id}	bank/statement	BankStatement_delete	false	Delete bank statement by ID.
get	/bank/statement/{id}	bank/statement	BankStatement_get	false	Get bank statement.
get	/bank/{id}	bank	Bank_get	false	Get bank.
put	/company	company	Company_put	false	Update company information.
get	/company/>withLoginAccess	company	CompanyWithLoginAccess_getWithLoginAccess	false	Returns client customers (with accountant/auditor relation) where the current user has login access (proxy login).
get	/company/divisions	company	CompanyDivisions_getDivisions	false	[DEPRECATED] Find divisions.
get	/company/salesmodules	company/salesmodules	CompanySalesmodules_get	false	[BETA] Get active sales modules.
post	/company/salesmodules	company/salesmodules	CompanySalesmodules_post	false	[BETA] Add (activate) a new sales module.
get	/company/settings/altinn	company/altinn,company/settings/altinn	CompanySettingsAltinn_search	false	Find Altinn id for login in company.
put	/company/settings/altinn	company/altinn,company/settings/altinn	CompanySettingsAltinn_put	false	Update AltInn id and password.
get	/company/{id}	company	Company_get	false	Find company by ID.
get	/contact	contact	Contact_search	false	Find contacts corresponding with sent data.
post	/contact	contact	Contact_post	false	Create contact.
delete	/contact/list	contact	ContactList_deleteByIds	false	[BETA] Delete multiple contacts.
post	/contact/list	contact	ContactList_postList	false	Create multiple contacts.
get	/contact/{id}	contact	Contact_get	false	Get contact by ID.
put	/contact/{id}	contact	Contact_put	false	Update contact.
get	/country	country	Country_search	false	Find countries corresponding with sent data.
get	/country/{id}	country	Country_get	false	Get country by ID.
get	/crm/prospect	crm/prospect	CrmProspect_search	true	Find prospects corresponding with sent data.
get	/crm/prospect/{id}	crm/prospect	CrmProspect_get	true	Get prospect by ID.
get	/currency	currency	Currency_search	false	Find currencies corresponding with sent data.
get	/currency/{fromCurrencyID}/exchangeRate	currency	CurrencyExchangeRate_getAmountCurrency	false	Returns the amount in the company currency, where the input amount is in fromCurrency, using the newest exchange rate available for the given date
get	/currency/{fromCurrencyID}/{toCurrencyID}/exchangeRate	currency	CurrencyExchangeRate_convertCurrencyAmount	false	Returns the amount in the specified currency, where the input amount is in fromCurrency, using the newest exchange rate available for the given date
get	/currency/{id}	currency	Currency_get	false	Get currency by ID.
get	/currency/{id}/rate	currency	CurrencyRate_getRate	false	Find currency exchange rate corresponding with sent data.
get	/customer	customer	Customer_search	false	Find customers corresponding with sent data.
post	/customer	customer	Customer_post	false	Create customer. Related customer addresses may also be created.
get	/customer/category	customer/category	CustomerCategory_search	false	Find customer/supplier categories corresponding with sent data.
post	/customer/category	customer/category	CustomerCategory_post	false	Add new customer/supplier category.
get	/customer/category/{id}	customer/category	CustomerCategory_get	false	Find customer/supplier category by ID.
put	/customer/category/{id}	customer/category	CustomerCategory_put	false	Update customer/supplier category.
post	/customer/list	customer	CustomerList_postList	false	[BETA] Create multiple customers. Related supplier addresses may also be created.
put	/customer/list	customer	CustomerList_putList	false	[BETA] Update multiple customers. Addresses can also be updated.
delete	/customer/{id}	customer	Customer_delete	false	[BETA] Delete customer by ID
get	/customer/{id}	customer	Customer_get	false	Get customer by ID.
put	/customer/{id}	customer	Customer_put	false	Update customer. 
get	/deliveryAddress	deliveryAddress	DeliveryAddress_search	false	Find addresses corresponding with sent data.
get	/deliveryAddress/{id}	deliveryAddress	DeliveryAddress_get	false	Get address by ID.
put	/deliveryAddress/{id}	deliveryAddress	DeliveryAddress_put	false	Update address.
get	/department	department	Department_search	false	Find department corresponding with sent data.
post	/department	department	Department_post	false	Add new department.
post	/department/list	department	DepartmentList_postList	false	Register new departments.
put	/department/list	department	DepartmentList_putList	false	Update multiple departments.
get	/department/query	department	DepartmentQuery_query	false	Wildcard search.
delete	/department/{id}	department	Department_delete	false	Delete department by ID
get	/department/{id}	department	Department_get	false	Get department by ID.
put	/department/{id}	department	Department_put	false	Update department.
get	/discountPolicy	discountPolicy	DiscountPolicy_search	false	[BETA] Find discounts corresponding with sent data. Available for Logistics Basis and Wholesaler integration.
get	/discountPolicy/{id}	discountPolicy	DiscountPolicy_get	false	[BETA] Get discount by ID. Available for Logistics Basis and Wholesaler integration.
get	/division	division	Division_search	false	Get divisions.
post	/division	division	Division_post	false	Create division.
post	/division/list	division	DivisionList_postList	false	Create divisions.
put	/division/list	division	DivisionList_putList	false	Update multiple divisions.
put	/division/{id}	division	Division_put	false	Update division information.
get	/document/{id}	document	Document_get	false	[BETA] Get document by ID.
get	/document/{id}/content	document	DocumentContent_downloadContent	false	[BETA] Get content of document given by ID.
get	/documentArchive/account/{id}	documentArchive	DocumentArchiveAccount_getAccount	false	[BETA] Find documents archived associated with account object type.
post	/documentArchive/account/{id}	documentArchive	DocumentArchiveAccount_accountPost	false	[BETA] Upload file to Account Document Archive.
get	/documentArchive/customer/{id}	documentArchive	DocumentArchiveCustomer_getCustomer	false	[BETA] Find documents archived associated with customer object type.
post	/documentArchive/customer/{id}	documentArchive	DocumentArchiveCustomer_customerPost	false	[BETA] Upload file to Customer Document Archive.
get	/documentArchive/dynamicControlForm/{id}	documentArchive	DocumentArchiveDynamicControlForm_getDynamicControlForm	false	[BETA] Find documents archived associated with control form object type.
post	/documentArchive/dynamicControlForm/{id}	documentArchive	DocumentArchiveDynamicControlForm_dynamicControlFormPost	false	[BETA] Upload file to Control Form Document Archive.
get	/documentArchive/employee/{id}	documentArchive	DocumentArchiveEmployee_getEmployee	false	[BETA] Find documents archived associated with employee object type.
post	/documentArchive/employee/{id}	documentArchive	DocumentArchiveEmployee_employeePost	false	[BETA] Upload file to Employee Document Archive.
get	/documentArchive/product/{id}	documentArchive	DocumentArchiveProduct_getProduct	false	[BETA] Find documents archived associated with product object type.
post	/documentArchive/product/{id}	documentArchive	DocumentArchiveProduct_productPost	false	[BETA] Upload file to Product Document Archive.
get	/documentArchive/project/{id}	documentArchive	DocumentArchiveProject_getProject	false	[BETA] Find documents archived associated with project object type.
post	/documentArchive/project/{id}	documentArchive	DocumentArchiveProject_projectPost	false	[BETA] Upload file to Project Document Archive.
post	/documentArchive/reception	documentArchive	DocumentArchiveReception_receptionPost	false	[BETA] Upload a file to the document archive reception. Send as multipart form.
get	/documentArchive/supplier/{id}	documentArchive	DocumentArchiveSupplier_getSupplier	false	[BETA] Find documents archived associated with supplier object type.
post	/documentArchive/supplier/{id}	documentArchive	DocumentArchiveSupplier_supplierPost	false	[BETA] Upload file to Supplier Document Archive.
delete	/documentArchive/{id}	documentArchive	DocumentArchive_delete	false	[BETA] Delete document archive.
put	/documentArchive/{id}	documentArchive	DocumentArchive_put	false	[BETA] Update document archive.
get	/employee	employee	Employee_search	false	Find employees corresponding with sent data.
post	/employee	employee	Employee_post	false	Create one employee.
get	/employee/category	employee/category	EmployeeCategory_search	false	Find employee category corresponding with sent data.
post	/employee/category	employee/category	EmployeeCategory_post	false	Create a new employee category.
delete	/employee/category/list	employee/category	EmployeeCategoryList_deleteByIds	false	Delete multiple employee categories
post	/employee/category/list	employee/category	EmployeeCategoryList_postList	false	Create new employee categories.
put	/employee/category/list	employee/category	EmployeeCategoryList_putList	false	Update multiple employee categories.
delete	/employee/category/{id}	employee/category	EmployeeCategory_delete	false	Delete employee category by ID
get	/employee/category/{id}	employee/category	EmployeeCategory_get	false	Get employee category by ID.
put	/employee/category/{id}	employee/category	EmployeeCategory_put	false	Update employee category information.
get	/employee/employment	employee/employment	EmployeeEmployment_search	false	Find all employments for employee.
post	/employee/employment	employee/employment	EmployeeEmployment_post	false	Create employment.
get	/employee/employment/details	employee/employment/details	EmployeeEmploymentDetails_search	false	Find all employmentdetails for employment.
post	/employee/employment/details	employee/employment/details	EmployeeEmploymentDetails_post	false	Create employment details.
get	/employee/employment/details/{id}	employee/employment/details	EmployeeEmploymentDetails_get	false	Find employment details by ID.
put	/employee/employment/details/{id}	employee/employment/details	EmployeeEmploymentDetails_put	false	Update employment details. 
get	/employee/employment/employmentType	employee/employment/employmentType	EmployeeEmploymentEmploymentType_search	false	Find all employment type IDs.
get	/employee/employment/employmentType/employmentEndReasonType	employee/employment/employmentType	EmployeeEmploymentEmploymentTypeEmploymentEndReasonType_getEmploymentEndReasonType	false	Find all employment end reason type IDs.
get	/employee/employment/employmentType/employmentFormType	employee/employment/employmentType	EmployeeEmploymentEmploymentTypeEmploymentFormType_getEmploymentFormType	false	Find all employment form type IDs.
get	/employee/employment/employmentType/maritimeEmploymentType	employee/employment/employmentType	EmployeeEmploymentEmploymentTypeMaritimeEmploymentType_getMaritimeEmploymentType	false	Find all maritime employment type IDs.
get	/employee/employment/employmentType/salaryType	employee/employment/employmentType	EmployeeEmploymentEmploymentTypeSalaryType_getSalaryType	false	Find all salary type IDs.
get	/employee/employment/employmentType/scheduleType	employee/employment/employmentType	EmployeeEmploymentEmploymentTypeScheduleType_getScheduleType	false	Find all schedule type IDs.
get	/employee/employment/leaveOfAbsence	employee/employment/leaveOfAbsence	EmployeeEmploymentLeaveOfAbsence_search	false	Find all leave of absence corresponding with the sent data.
post	/employee/employment/leaveOfAbsence	employee/employment/leaveOfAbsence	EmployeeEmploymentLeaveOfAbsence_post	false	Create leave of absence.
post	/employee/employment/leaveOfAbsence/list	employee/employment/leaveOfAbsence	EmployeeEmploymentLeaveOfAbsenceList_postList	false	Create multiple leave of absences.
get	/employee/employment/leaveOfAbsence/{id}	employee/employment/leaveOfAbsence	EmployeeEmploymentLeaveOfAbsence_get	false	Find leave of absence by ID.
put	/employee/employment/leaveOfAbsence/{id}	employee/employment/leaveOfAbsence	EmployeeEmploymentLeaveOfAbsence_put	false	Update leave of absence.
get	/employee/employment/leaveOfAbsenceType	employee/employment/leaveOfAbsenceType	EmployeeEmploymentLeaveOfAbsenceType_search	false	Find all leave of absence type IDs.
get	/employee/employment/occupationCode	employee/employment/occupationCode	EmployeeEmploymentOccupationCode_search	false	Find all profession codes.
get	/employee/employment/occupationCode/{id}	employee/employment/occupationCode	EmployeeEmploymentOccupationCode_get	false	Get occupation by ID.
get	/employee/employment/remunerationType	employee/employment/remunerationType	EmployeeEmploymentRemunerationType_search	false	Find all remuneration type IDs.
get	/employee/employment/workingHoursScheme	employee/employment/workingHoursScheme	EmployeeEmploymentWorkingHoursScheme_search	false	Find working hours scheme ID.
get	/employee/employment/{id}	employee/employment	EmployeeEmployment_get	false	Find employment by ID.
put	/employee/employment/{id}	employee/employment	EmployeeEmployment_put	false	Update employemnt. 
get	/employee/entitlement	employee/entitlement	EmployeeEntitlement_search	false	Find all entitlements for user.
put	/employee/entitlement/:grantClientEntitlementsByTemplate	employee/entitlement	EmployeeEntitlementGrantClientEntitlementsByTemplate_grantClientEntitlementsByTemplate	false	[BETA] Update employee entitlements in client account.
put	/employee/entitlement/:grantEntitlementsByTemplate	employee/entitlement	EmployeeEntitlementGrantEntitlementsByTemplate_grantEntitlementsByTemplate	false	[BETA] Update employee entitlements.
get	/employee/entitlement/client	employee/entitlement	EmployeeEntitlementClient_client	false	[BETA] Find all entitlements at client for user.
get	/employee/entitlement/{id}	employee/entitlement	EmployeeEntitlement_get	false	Get entitlement by ID.
get	/employee/hourlyCostAndRate	employee/hourlyCostAndRate	EmployeeHourlyCostAndRate_search	false	Find all hourly cost and rates for employee.
post	/employee/hourlyCostAndRate	employee/hourlyCostAndRate	EmployeeHourlyCostAndRate_post	false	Create hourly cost and rate.
get	/employee/hourlyCostAndRate/{id}	employee/hourlyCostAndRate	EmployeeHourlyCostAndRate_get	false	Find hourly cost and rate by ID.
put	/employee/hourlyCostAndRate/{id}	employee/hourlyCostAndRate	EmployeeHourlyCostAndRate_put	false	Update hourly cost and rate. 
post	/employee/list	employee	EmployeeList_postList	false	Create several employees.
get	/employee/nextOfKin	employee/nextOfKin	EmployeeNextOfKin_search	false	Find all next of kin for employee.
post	/employee/nextOfKin	employee/nextOfKin	EmployeeNextOfKin_post	false	Create next of kin.
get	/employee/nextOfKin/{id}	employee/nextOfKin	EmployeeNextOfKin_get	false	Find next of kin by ID.
put	/employee/nextOfKin/{id}	employee/nextOfKin	EmployeeNextOfKin_put	false	Update next of kin. 
get	/employee/preferences	employee/preferences	EmployeePreferences_search	false	Find employee preferences corresponding with sent data.
put	/employee/preferences/:changeLanguage	employee/preferences	EmployeePreferencesChangeLanguage_changeLanguage	false	Change current employees language to the given language
get	/employee/preferences/>loggedInEmployeePreferences	employee/preferences	EmployeePreferencesLoggedInEmployeePreferences_loggedInEmployeePreferences	false	Get employee preferences for current user
put	/employee/preferences/list	employee/preferences	EmployeePreferencesList_putList	false	Update multiple employee preferences.
put	/employee/preferences/{id}	employee/preferences	EmployeePreferences_put	false	Update employee preferences information.
get	/employee/searchForEmployeesAndContacts	employee	EmployeeSearchForEmployeesAndContacts_searchForEmployeesAndContacts	false	Get employees and contacts by parameters. Include contacts by default.
get	/employee/standardTime	employee/standardTime	EmployeeStandardTime_search	false	Find all standard times for employee.
post	/employee/standardTime	employee/standardTime	EmployeeStandardTime_post	false	Create standard time.
get	/employee/standardTime/byDate	employee/standardTime	EmployeeStandardTimeByDate_getByDate	false	Find standard time for employee by date.
get	/employee/standardTime/{id}	employee/standardTime	EmployeeStandardTime_get	false	Find standard time by ID.
put	/employee/standardTime/{id}	employee/standardTime	EmployeeStandardTime_put	false	Update standard time. 
get	/employee/{id}	employee	Employee_get	false	Get employee by ID.
put	/employee/{id}	employee	Employee_put	false	Update employee.
get	/event	event	Event_get	false	[BETA] Get all (WebHook) event keys.
get	/event/subscription	event/subscription	EventSubscription_search	false	[BETA] Find all ongoing subscriptions.
post	/event/subscription	event/subscription	EventSubscription_post	false	[BETA] Create a new subscription for current EmployeeToken.
delete	/event/subscription/list	event/subscription	EventSubscriptionList_deleteByIds	false	[BETA] Delete multiple subscriptions.
post	/event/subscription/list	event/subscription	EventSubscriptionList_postList	false	[BETA] Create multiple subscriptions for current EmployeeToken.
put	/event/subscription/list	event/subscription	EventSubscriptionList_putList	false	[BETA] Update multiple subscription.
delete	/event/subscription/{id}	event/subscription	EventSubscription_delete	false	[BETA] Delete the given subscription.
get	/event/subscription/{id}	event/subscription	EventSubscription_get	false	[BETA] Get subscription by ID.
put	/event/subscription/{id}	event/subscription	EventSubscription_put	false	[BETA] Change a current subscription, based on id.
get	/event/{eventType}	event	Event_example	false	[BETA] Get example webhook payload
post	/incomingInvoice	incomingInvoice	IncomingInvoice_post	false	[BETA] create an invoice
get	/incomingInvoice/search	incomingInvoice	IncomingInvoiceSearch_search	false	[BETA] Get a list of invoices
get	/incomingInvoice/{voucherId}	incomingInvoice	IncomingInvoice_get	false	[BETA] Get an invoice by voucherId
put	/incomingInvoice/{voucherId}	incomingInvoice	IncomingInvoice_put	false	[BETA] update an invoice by voucherId
post	/incomingInvoice/{voucherId}/addPayment	incomingInvoice	IncomingInvoiceAddPayment_addPayment	false	[BETA] create a payment for voucher/invoice
get	/internal/debtCollector	debtCollector/internal,internal/debtCollector	InternalDebtCollector_get	false	Get last select debt collector
delete	/internal/debtCollector/deactivate	debtCollector/internal,internal/debtCollector	InternalDebtCollectorDeactivate_deactivate	false	Deactivate debt collector relation
put	/internal/nhoAdmin/:abort	internal/nhoAdmin	InternalNhoAdminAbort_abort	false	Aborts all scheduled NHO membership events
get	/inventory	inventory	Inventory_search	false	Find inventory corresponding with sent data.
post	/inventory	inventory	Inventory_post	false	Create new inventory.
get	/inventory/inventories	inventory/inventories	InventoryInventories_search	false	Find inventories corresponding with sent data.
get	/inventory/location	inventory/location	InventoryLocation_search	false	Find inventory locations by inventory ID. Only available for Logistics Basic.
post	/inventory/location	inventory/location	InventoryLocation_post	false	Create new inventory location. Only available for Logistics Basic.
delete	/inventory/location/list	inventory/location	InventoryLocationList_deleteByIds	false	Delete inventory location. Only available for Logistics Basic.
post	/inventory/location/list	inventory/location	InventoryLocationList_postList	false	Add multiple inventory locations. Only available for Logistics Basic.
put	/inventory/location/list	inventory/location	InventoryLocationList_putList	false	Update multiple inventory locations. Only available for Logistics Basic.
delete	/inventory/location/{id}	inventory/location	InventoryLocation_delete	false	Delete inventory location. Only available for Logistics Basic.
get	/inventory/location/{id}	inventory/location	InventoryLocation_get	false	Get inventory location by ID. Only available for Logistics Basic.
put	/inventory/location/{id}	inventory/location	InventoryLocation_put	false	Update inventory location. Only available for Logistics Basic.
get	/inventory/stocktaking	inventory/stocktaking	InventoryStocktaking_search	false	Find stocktaking corresponding with sent data.
post	/inventory/stocktaking	inventory/stocktaking	InventoryStocktaking_post	false	Create new stocktaking.
get	/inventory/stocktaking/productline	inventory/stocktaking/productline	InventoryStocktakingProductline_search	false	Find all order lines by stocktaking ID.
post	/inventory/stocktaking/productline	inventory/stocktaking/productline	InventoryStocktakingProductline_post	false	Create order line. When creating several order lines, use /list for better performance.
delete	/inventory/stocktaking/productline/{id}	inventory/stocktaking/productline	InventoryStocktakingProductline_delete	false	Delete order line.
get	/inventory/stocktaking/productline/{id}	inventory/stocktaking/productline	InventoryStocktakingProductline_get	false	Get order line by ID.
put	/inventory/stocktaking/productline/{id}	inventory/stocktaking/productline	InventoryStocktakingProductline_put	false	Update order line.
put	/inventory/stocktaking/productline/{id}/:changeLocation	inventory/stocktaking/productline	InventoryStocktakingProductlineChangeLocation_changeLocation	false	[Beta] Change location on order line.
delete	/inventory/stocktaking/{id}	inventory/stocktaking	InventoryStocktaking_delete	false	Delete stocktaking.
get	/inventory/stocktaking/{id}	inventory/stocktaking	InventoryStocktaking_get	false	Get stocktaking by ID.
put	/inventory/stocktaking/{id}	inventory/stocktaking	InventoryStocktaking_put	false	Update stocktaking.
delete	/inventory/{id}	inventory	Inventory_delete	false	Delete inventory.
get	/inventory/{id}	inventory	Inventory_get	false	Get inventory by ID.
put	/inventory/{id}	inventory	Inventory_put	false	Update inventory.
get	/invoice	invoice	Invoice_search	false	Find invoices corresponding with sent data. Includes charged outgoing invoices only.
post	/invoice	invoice	Invoice_post	false	Create invoice. Related Order and OrderLines can be created first, or included as new objects inside the Invoice.
get	/invoice/details	invoice/details	InvoiceDetails_search	false	Find ProjectInvoiceDetails corresponding with sent data.
get	/invoice/details/{id}	invoice/details	InvoiceDetails_get	false	Get ProjectInvoiceDetails by ID.
post	/invoice/list	invoice	InvoiceList_postList	false	[BETA] Create multiple invoices. Max 100 at a time.
get	/invoice/paymentType	invoice/paymentType	InvoicePaymentType_search	false	Find payment type corresponding with sent data.
get	/invoice/paymentType/{id}	invoice/paymentType	InvoicePaymentType_get	false	Get payment type by ID.
get	/invoice/{id}	invoice	Invoice_get	false	Get invoice by ID.
put	/invoice/{id}/:createCreditNote	invoice	InvoiceCreateCreditNote_createCreditNote	false	Creates a new Invoice representing a credit memo that nullifies the given invoice. Updates this invoice and any pre-existing inverse invoice.
put	/invoice/{id}/:createReminder	invoice	InvoiceCreateReminder_createReminder	false	Create invoice reminder and sends it by the given dispatch type. Supports the reminder types SOFT_REMINDER, REMINDER and NOTICE_OF_DEBT_COLLECTION. DispatchType NETS_PRINT must have type NOTICE_OF_DEBT_COLLECTION. SMS and NETS_PRINT must be activated prior to usage in the API.
put	/invoice/{id}/:payment	invoice	InvoicePayment_payment	false	Update invoice. The invoice is updated with payment information. The amount is in the invoice’s currency.
put	/invoice/{id}/:send	invoice	InvoiceSend_send	false	Send invoice by ID and sendType. Optionally override email recipient.
get	/invoice/{invoiceId}/pdf	invoice	InvoicePdf_downloadPdf	false	Get invoice document by invoice ID.
get	/invoiceRemark/{id}	invoiceRemark	InvoiceRemark_get	false	Get invoice remark by ID.
get	/ledger	ledger	Ledger_search	false	Get ledger (hovedbok).
get	/ledger/account	ledger/account	LedgerAccount_search	false	Find accounts corresponding with sent data.
post	/ledger/account	ledger/account	LedgerAccount_post	false	Create a new account.
delete	/ledger/account/list	ledger/account	LedgerAccountList_deleteByIds	false	Delete multiple accounts.
post	/ledger/account/list	ledger/account	LedgerAccountList_postList	false	Create several accounts.
put	/ledger/account/list	ledger/account	LedgerAccountList_putList	false	Update multiple accounts.
delete	/ledger/account/{id}	ledger/account	LedgerAccount_delete	false	Delete account.
get	/ledger/account/{id}	ledger/account	LedgerAccount_get	false	Get account by ID.
put	/ledger/account/{id}	ledger/account	LedgerAccount_put	false	Update account.
get	/ledger/accountingDimensionName	accountingDimensionName,ledger/accountingDimensionName	LedgerAccountingDimensionName_getAll	false	Get all accounting dimension names.
post	/ledger/accountingDimensionName	accountingDimensionName,ledger/accountingDimensionName	LedgerAccountingDimensionName_post	false	Create a new free (aka 'user defined') accounting dimension
get	/ledger/accountingDimensionName/search	accountingDimensionName,ledger/accountingDimensionName	LedgerAccountingDimensionNameSearch_search	false	Search for accounting dimension names according to criteria.
delete	/ledger/accountingDimensionName/{id}	accountingDimensionName,ledger/accountingDimensionName	LedgerAccountingDimensionName_delete	false	Delete an accounting dimension name by ID
